lt-LT.po	Full Name	missing-entry
lv-LV.po	Personal information	missing-entry
lv-LV.po	This information will be saved in the new resume and can be reused later.	missing-entry
lv-LV.po	Start with a title, then save the personal details you want to reuse later.	missing-entry
lv-LV.po	Full Name	missing-entry
ml-IN.po	Personal information	missing-entry
ml-IN.po	This information will be saved in the new resume and can be reused later.	missing-entry
ml-IN.po	Start with a title, then save the personal details you want to reuse later.	missing-entry
ml-IN.po	Full Name	missing-entry
mr-IN.po	Personal information	missing-entry
mr-IN.po	This information will be saved in the new resume and can be reused later.	missing-entry
mr-IN.po	Start with a title, then save the personal details you want to reuse later.	missing-entry
mr-IN.po	Full Name	missing-entry
ms-MY.po	Personal information	missing-entry
ms-MY.po	This information will be saved in the new resume and can be reused later.	missing-entry
ms-MY.po	Start with a title, then save the personal details you want to reuse later.	missing-entry
ms-MY.po	Full Name	missing-entry
ne-NP.po	Personal information	missing-entry
ne-NP.po	This information will be saved in the new resume and can be reused later.	missing-entry
ne-NP.po	Start with a title, then save the personal details you want to reuse later.	missing-entry
ne-NP.po	Full Name	missing-entry
nl-NL.po	Personal information	missing-entry
nl-NL.po	This information will be saved in the new resume and can be reused later.	missing-entry
nl-NL.po	Start with a title, then save the personal details you want to reuse later.	missing-entry
nl-NL.po	Full Name	missing-entry
no-NO.po	Personal information	missing-entry
no-NO.po	This information will be saved in the new resume and can be reused later.	missing-entry
no-NO.po	Start with a title, then save the personal details you want to reuse later.	missing-entry
no-NO.po	Full Name	missing-entry
or-IN.po	Personal information	missing-entry
or-IN.po	This information will be saved in the new resume and can be reused later.	missing-entry
or-IN.po	Start with a title, then save the personal details you want to reuse later.	missing-entry
or-IN.po	Full Name	missing-entry
pl-PL.po	Personal information	missing-entry
pl-PL.po	This information will be saved in the new resume and can be reused later.	missing-entry
pl-PL.po	Start with a title, then save the personal details you want to reuse later.	missing-entry
pl-PL.po	Full Name	missing-entry
pt-BR.po	Personal information	missing-entry
pt-BR.po	This information will be saved in the new resume and can be reused later.	missing-entry
pt-BR.po	Start with a title, then save the personal details you want to reuse later.	missing-entry
pt-BR.po	Full Name	missing-entry
pt-PT.po	Personal information	missing-entry
pt-PT.po	This information will be saved in the new resume and can be reused later.	missing-entry
pt-PT.po	Start with a title, then save the personal details you want to reuse later.	missing-entry
pt-PT.po	Full Name	missing-entry
ro-RO.po	Personal information	missing-entry
